Title,Genres,Release Date,Studio,Critic Score,Audience Score,Hint,Vibe Emojis,Description,TMDB Genres,TMDB Year,TMDB Studio,TMDB Rating,TMDB Number of Ratings,TMDB Country,TMDB Language,TMDB Poster URL,TMDB Trailer Link,TMDB Description,TMDB Runtime,TMDB Budget,TMDB Revenue,TMDB Popularity
The Shawshank Redemption,"Drama, Crime",1994-09-22,Castle Rock Entertainment,91,N/A,A patient soul crawls through filth to find freedom beneath a storm.,⛓️🔨🌧️🛶📖🏛️🕊️🤝📜🏃,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","Drama, Crime",1994,Castle Rock Entertainment,8.722,30548,United States of America,English,https://image.tmdb.org/t/p/w500/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,https://www.youtube.com/watch?v=PLl99DlL6b4,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",142,25000000,28341469,86.5493
The Godfather,"Crime, Drama",1972-03-24,Paramount Pictures,97,N/A,A reluctant heir is pulled into the shadows of a family legacy built on blood and loyalty.,🇮🇹🕴️🔫🍷🍝💍🩸🕍💰🕯️,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,"Drama, Crime",1972,"Paramount Pictures, Alfran Productions, ASR Productions",8.7,23025,United States of America,"English, Italian, Latin",https://image.tmdb.org/t/p/w500/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,https://www.youtube.com/watch?v=Ew9ngL1GZvs,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",175,6000000,245066411,42.9867
Ramayana: The Legend of Prince Rama,"Animation, Action, Adventure, Fantasy",1992-11-09,Nippon Ramayana Film Co.,92,N/A,An exiled heir leads a legion of primates across a stone bridge to reclaim his stolen light from a ten-faced sovereign.,🏹🕉️👹🐒🔥🏰🌊🌅🙏⚔️,"A landmark Indo-Japanese animated feature that masterfully adapts the ancient Sanskrit epic of duty, devotion, and the eternal struggle between dharma and adharma.","Animation, Action, Adventure, Fantasy",1993,Nippon Ramayana Film Co.,8.218,55,"India, Japan","English, Sanskrit",https://image.tmdb.org/t/p/w500/jnwUw88Zq5tS0BFNvDwhISQ7p8Y.jpg,https://www.youtube.com/watch?v=pelpix1t8Z4,"In Ayodhya, the royal palace of Kosala Kingdom in Ancient India, four princes were born to three queens, each of whom grew to great stature. Banished for 14 years due to court intrigue, Prince Rama retreated to the forest with his beautiful wife Sita. When Rama vanquishes the demons of the forest, he invites the wrath of the demon king Ravana, who kidnaps Sita. Based on the Indian epic the Ramayana.",135,5234266,,1.38
The Chaos Class,"Comedy, Drama",1975-04-01,Arzu Film,93,N/A,A band of perpetual students turns a prestigious boarding school into a playground of schemes and laughter while outwitting their firm disciplinarian.,🏫👨‍🏫😂📝🚬🚌🏃‍♂️🪑📚🤔,Follows the humorous adventures of a group of mischievous high school students in a private school as they constantly dodge exams and play pranks on their teachers.,"Comedy, Drama",1975,Arzu Film,8,170,Turkey,Turkish,https://image.tmdb.org/t/p/w500/t2xLuEeZhy4uyiWIFT9D4mmyEA8.jpg,https://www.youtube.com/watch?v=k6gi9WhpBJ0,A group of affluent private school slackers enjoy a prankster lifestyle until a tough new disciplinarian headmaster arrives.,85,,,0.4675
The Dark Knight,"Action, Crime, Drama",2008-07-18,Warner Bros. Pictures,94,N/A,An agent of chaos tests the moral fiber of a city's silent guardian and its fallen white knight.,🤡🃏🦇🏙️🔥🚓🪙⚖️🏙️💣,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, the Caped Crusader must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Action, Crime, Thriller",2008,"Warner Bros. Pictures, Legendary Pictures, Syncopy, DC",8.531,35889,"United Kingdom, United States of America","English, Mandarin",https://image.tmdb.org/t/p/w500/qJ2tW6WMUDux911r6m7haRef0WH.jpg,https://www.youtube.com/watch?v=_PZpmTj1Q8Q,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",152,185000000,1004558444,41.5527
Schindler's List,"Biography, Drama, History",1993-12-15,Universal Pictures,98,N/A,An opportunist’s moral awakening transforms a factory into a sanctuary amidst the darkest chapter of human history.,📜🕯️🚂❄️🇩🇪⛪🥀🎖️🖋️🖤,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","Drama, History, War",1993,Amblin Entertainment,8.6,17509,United States of America,"German, Polish, Hebrew, English",https://image.tmdb.org/t/p/w500/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,https://www.youtube.com/watch?v=v0RB-3sWbBA,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,195,22000000,321365567,26.5521
The Lord of the Rings: The Return of the King,"Action, Adventure, Drama, Fantasy",2003-12-17,New Line Cinema,94,N/A,An ancient inheritance is reclaimed as a heavy burden is cast into the fires where it was forged.,💍🌋⚔️🦅👑🏰🛡️🗻👁️🔥,The final confrontation between the forces of good and evil fighting for control of Middle-earth.,"Adventure, Fantasy, Action",2003,"New Line Cinema, WingNut Films, The Saul Zaentz Company",8.5,26637,"New Zealand, United States of America",English,https://image.tmdb.org/t/p/w500/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,https://www.youtube.com/watch?v=zckJCxYxn1g,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​",201,94000000,1118888979,44.4099
12 Angry Men,"Drama, Crime",1957-04-10,United Artists,100,N/A,Twelve strangers must find absolute certainty within the suffocating heat of a locked room while a life hangs in the balance.,⚖️🏛️🔥🗣️👔🏙️🌩️🚪🤔⚖️,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,Drama,1957,Orion-Nova Productions,8.563,10032,United States of America,English,https://image.tmdb.org/t/p/w500/zhG3vKWyDRaZYoaww1UVAi29T9h.jpg,https://www.youtube.com/watch?v=TEN-2uTi2c0,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",97,397751,4360000,23.231
The Godfather Part II,"Crime, Drama",1974-12-20,Paramount Pictures,96,N/A,"As a legacy of shadows stretches across generations, a rising empire is forged through blood and the cold betrayal of kin.",🕴️🔫🇮🇹🛥️🥃🎲❄️👔🏛️🥀,The parallel stories of a young immigrant building a destiny in a new land and his successor navigating the treacherous waters of power and family loyalty across a changing landscape.,"Drama, Crime",1974,"Paramount Pictures, The Coppola Company, American Zoetrope",8.572,13963,United States of America,"English, Italian, Latin, Spanish",https://image.tmdb.org/t/p/w500/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,https://www.youtube.com/watch?v=7pfqivkYUlE,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",202,13000000,102600000,27.6492
Mirror Game,"Crime, Mystery, Thriller",2017-06-02,Rahasya Entertainment,52,N/A,"In a world of double identities, a deadly proposal turns a psychological puzzle into a race against the truth.",🪞🧩🎲🔪🕵️‍♂️🧠🎞️🌃🤫👤,A university professor finds himself entangled in a complex web of deceit and psychological manipulation after orchestrating a hypothetical murder plan with a student.,"Thriller, Crime, Mystery",2017,,5.3,6,India,Hindi,https://image.tmdb.org/t/p/w500/tfq9N7lqWWXqK6U9h76ogf3Gaq9.jpg,https://www.youtube.com/watch?v=POAOWFWJsnM,"Professor Jay Verma finds himself in a precarious situation amidst his failing career and crumbling marital relationship. Struggling to make his way out, he seeks help from Ronnie, a student in lieu of his help to complete Ronnie's thesis. The two strike a deal, however, soon things go awry and the professor begins to question his own sanity.",113,,,0.266
