Title,Genres,Release Date,Year,Studio,CriticScore,TMDBRating,Country,Language,Hint,Description,Emojis,PosterURL,TrailerURL,DiffEasy,DiffNormal,DiffHard,DiffImpossible
The Shawshank Redemption,"Drama, Crime",1994-09-22,1994.0,Castle Rock Entertainment,91.0,8.7,United States of America,English,A patient soul crawls through filth to find freedom beneath a storm.,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",⛓️🔨🌧️🛶📖🏛️🕊️🤝📜🏃,https://image.tmdb.org/t/p/w500/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,https://www.youtube.com/watch?v=PLl99DlL6b4,False,False,False,True
The Godfather,"Drama, Crime",1972-03-24,1972.0,Paramount Pictures,97.0,8.7,United States of America,English,A reluctant heir is pulled into the shadows of a family legacy built on blood and loyalty.,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,🇮🇹🕴️🔫🍷🍝💍🩸🕍💰🕯️,https://image.tmdb.org/t/p/w500/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,https://www.youtube.com/watch?v=Ew9ngL1GZvs,False,False,True,True
Ramayana: The Legend of Prince Rama,"Animation, Action, Adventure, Fantasy",1992-11-09,1993.0,Nippon Ramayana Film Co.,92.0,8.2,"India, Japan",English,An exiled heir leads a legion of primates across a stone bridge to reclaim his stolen light from a ten-faced sovereign.,"A landmark Indo-Japanese animated feature that masterfully adapts the ancient Sanskrit epic of duty, devotion, and the eternal struggle between dharma and adharma.",🏹🕉️👹🐒🔥🏰🌊🌅🙏⚔️,https://image.tmdb.org/t/p/w500/jnwUw88Zq5tS0BFNvDwhISQ7p8Y.jpg,https://www.youtube.com/watch?v=pelpix1t8Z4,False,False,False,True
The Chaos Class,"Comedy, Drama",1975-04-01,1975.0,Arzu Film,93.0,8.0,Turkey,Turkish,A band of perpetual students turns a prestigious boarding school into a playground of schemes and laughter while outwitting their firm disciplinarian.,Follows the humorous adventures of a group of mischievous high school students in a private school as they constantly dodge exams and play pranks on their teachers.,🏫👨‍🏫😂📝🚬🚌🏃‍♂️🪑📚🤔,https://image.tmdb.org/t/p/w500/t2xLuEeZhy4uyiWIFT9D4mmyEA8.jpg,https://www.youtube.com/watch?v=k6gi9WhpBJ0,False,False,False,True
The Dark Knight,"Action, Crime, Thriller",2008-07-18,2008.0,Warner Bros. Pictures,94.0,8.5,"United Kingdom, United States of America",English,An agent of chaos tests the moral fiber of a city's silent guardian and its fallen white knight.,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, the Caped Crusader must accept one of the greatest psychological and physical tests of his ability to fight injustice.",🤡🃏🦇🏙️🔥🚓🪙⚖️🏙️💣,https://image.tmdb.org/t/p/w500/qJ2tW6WMUDux911r6m7haRef0WH.jpg,https://www.youtube.com/watch?v=_PZpmTj1Q8Q,True,True,True,True
Schindler's List,"Drama, History, War",1993-12-15,1993.0,Amblin Entertainment,98.0,8.6,United States of America,German,An opportunist’s moral awakening transforms a factory into a sanctuary amidst the darkest chapter of human history.,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",📜🕯️🚂❄️🇩🇪⛪🥀🎖️🖋️🖤,https://image.tmdb.org/t/p/w500/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,https://www.youtube.com/watch?v=v0RB-3sWbBA,True,True,True,True
The Lord of the Rings: The Return of the King,"Adventure, Fantasy, Action",2003-12-17,2003.0,New Line Cinema,94.0,8.5,"New Zealand, United States of America",English,An ancient inheritance is reclaimed as a heavy burden is cast into the fires where it was forged.,The final confrontation between the forces of good and evil fighting for control of Middle-earth.,💍🌋⚔️🦅👑🏰🛡️🗻👁️🔥,https://image.tmdb.org/t/p/w500/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,https://www.youtube.com/watch?v=zckJCxYxn1g,True,True,True,True
12 Angry Men,Drama,1957-04-10,1957.0,Orion-Nova Productions,100.0,8.6,United States of America,English,Twelve strangers must find absolute certainty within the suffocating heat of a locked room while a life hangs in the balance.,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,⚖️🏛️🔥🗣️👔🏙️🌩️🚪🤔⚖️,https://image.tmdb.org/t/p/w500/zhG3vKWyDRaZYoaww1UVAi29T9h.jpg,https://www.youtube.com/watch?v=TEN-2uTi2c0,False,False,True,True
The Godfather Part II,"Drama, Crime",1974-12-20,1974.0,Paramount Pictures,96.0,8.6,United States of America,English,"As a legacy of shadows stretches across generations, a rising empire is forged through blood and the cold betrayal of kin.",The parallel stories of a young immigrant building a destiny in a new land and his successor navigating the treacherous waters of power and family loyalty across a changing landscape.,🕴️🔫🇮🇹🛥️🥃🎲❄️👔🏛️🥀,https://image.tmdb.org/t/p/w500/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,https://www.youtube.com/watch?v=7pfqivkYUlE,False,False,True,True
Mirror Game,"Thriller, Crime, Mystery",2017-06-02,2017.0,,52.0,5.3,India,Hindi,"In a world of double identities, a deadly proposal turns a psychological puzzle into a race against the truth.",A university professor finds himself entangled in a complex web of deceit and psychological manipulation after orchestrating a hypothetical murder plan with a student.,🪞🧩🎲🔪🕵️‍♂️🧠🎞️🌃🤫👤,https://image.tmdb.org/t/p/w500/tfq9N7lqWWXqK6U9h76ogf3Gaq9.jpg,https://www.youtube.com/watch?v=POAOWFWJsnM,False,False,False,True
