Title,Genres,Release Date,Studio,Critic Score,Audience Score,Hint,Vibe Emojis,Description,YouTube Embed Link,Verification Status
12 Angry Men,"Drama, Crime",1957-04-10,United Artists,100,N/A,Twelve strangers must find absolute certainty within the suffocating heat of a locked room while a life hangs in the balance.,⚖️🏛️🔥🗣️👔🏙️🌩️🚪🤔⚖️,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,https://www.youtube.com/embed/TEN-2uTi2c0,verified
Seven Samurai,"Action, Drama",1954-04-26,Toho,100,N/A,A desperate village trades their only sustenance for the protection of steel-bound outcasts before the harvest bloodbath.,🗡️🐎🌾🍚⛈️👺🏔️🏹⚔️⛩️,"In 16th-century Japan, a veteran samurai gathers six other masterless warriors to defend a group of farmers from a band of marauding bandits who plan to steal their crops after the harvest.",https://www.youtube.com/embed/wJ1TOratCTo,verified
Harakiri,"Action, Drama, History",1962-09-16,Shochiku,100,N/A,An aging warrior requests a final act of dignity while exposing the rot behind a noble facade.,⚔️🏯🩸🥀🌑👺🇯🇵📜⚖️💔,"A masterless samurai arrives at a prominent estate seeking a place to die, only to challenge the very core of the bushido code through a tale of systemic cruelty.",https://www.youtube.com/embed/gfABwM-Ppng,verified
Grave of the Fireflies,"Animation, Drama, War",1988-04-16,Studio Ghibli,100,N/A,Two siblings seek refuge in the shadows of a burning sky where tiny lanterns offer the only warmth before the inevitable darkness.,🦗🕯️🍚🚂🍬🏚️🥀😢🏮🇯🇵,A devastating tale of survival in wartime Japan follows two siblings as they struggle against hunger and neglect after their home is destroyed.,https://www.youtube.com/embed/lhlh7JVcTt8,verified
Modern Times,"Comedy, Drama, Romance",1936-02-05,United Artists,100,N/A,A frantic struggle against the gears of industry leads to a silent path toward a hopeful sunrise.,⚙️🏭🎩🚶‍♂️🍝👮‍♂️🛠️🏢🏢💰,"A factory worker struggles to survive in a modern, industrialized world with the help of a young homeless woman.",https://www.youtube.com/embed/GLeDdzGUTq0,verified
Woman in the Dunes,"Drama, Thriller",1964-02-15,Teshigahara Production,100,N/A,A collector of small lives becomes a prisoner of shifting mountains where survival is measured in buckets.,🏜️⌛️🐜🏚️🪣🌫️⛓️🌑💧🐚,"An entomologist seeking rare insects becomes trapped in a deep sand pit with a lonely widow, forced into a cycle of endless labor against the encroaching dunes.",https://www.youtube.com/embed/7kX4h_sEBiI,verified
The World of Apu,"Drama, Romance",1959-05-01,Satyajit Ray Productions,100,N/A,A young writer navigates the unexpected burdens of love and loss amidst the rhythmic pulse of the railway and the weight of a sudden legacy.,📽️🇮🇳📖🖋️🚂💔🌊🤱☀️🛤️,The final chapter of a landmark trilogy follows a sensitive artist in Calcutta as he faces the joys of marriage and the crushing depths of grief.,https://www.youtube.com/embed/cG_LfW1Xiio,verified
Gol Maal,"Comedy, Romance",1979-04-20,Rupam Chitra,100,N/A,A clean-shaven lie splits one man into two to appease a traditionalist's obsession with facial hair.,👨🏻⚽👔🏢😂🥸🎼👴🏽🤥🏠,A sports-loving accountant invents a fictional twin to save his job when his traditionalist boss catches him at a match.,https://www.youtube.com/embed/1h4FG8ZI-tY,verified
3 Idiots,"Comedy, Drama",2009-12-25,Vinod Chopra Films,100,N/A,A rebellious pursuit of knowledge challenges a rigid educational system through the lens of long-lost friendship.,🎓👨‍🎓👨‍🎓👨‍🎓🏫💡🚁🐕⛈️❤️,"Two friends search for their long-lost companion who inspired them to think differently and face the world with courage, even as they remember their college days under the tyranny of a strict director.",https://www.youtube.com/embed/K0eDlFX9GMc,verified
Witness for the Prosecution,"Crime, Drama, Mystery, Film-Noir",1957-12-17,United Artists,100,N/A,A silver-tongued defender faces a maze of deception where the most damning testimony comes from the one meant to save him.,⚖️🕵️‍♂️📜🚬🤵🎭🤐💔🔪🧐,"A veteran barrister defends a man accused of murdering a wealthy widow, only for the case to take a series of shocking turns involving a mysterious wife.",https://www.youtube.com/embed/GMlJfiA2u7Y,verified
